player,player_id,position,team_name,grades_offense,grades_run_block,snap_counts_block,rank,Year,index,player_name,year_signed,age,contract_length,value,average/year
Donald Penn,3459,T,TB,78.1,77.4,1047,38.0,2012,2086,Donald Penn,2012,28,6,"$41,700,000",6950000
Todd Herremans,2343,T,PHI,77.9,85.9,529,40.0,2012,1916,Todd Herremans,2012,29,3,"$18,000,000",6000000
Tyson Clabo,2011,T,ATL,77.9,82.3,1179,40.0,2012,2049,Tyson Clabo,2012,30,5,"$25,000,000",5000000
Will Montgomery,3179,C,WAS,77.7,74.3,1082,43.0,2012,1930,Will Montgomery,2012,29,4,"$12,000,000",3000000
John Greco,4379,G,CLV,77.6,82.7,691,44.0,2012,1829,John Greco,2012,26,2,"$1,400,000",700000
Rob Sims,3073,G,DET,77.5,72.5,1199,45.0,2012,2135,Rob Sims,2012,28,4,"$14,200,000",3550000
Josh Sitton,4449,G,GB,77.4,73.1,1227,46.0,2012,1987,Josh Sitton,2012,26,5,"$33,750,000",6750000
Jahri Evans,3053,G,NO,77.4,72.1,1105,46.0,2012,2095,Jahri Evans,2012,28,7,"$56,700,000",8100000
Chris Chester,3001,G,WAS,76.7,72.7,1088,49.0,2012,1949,Chris Chester,2012,29,5,"$20,000,000",4000000
Chris Snee,1755,G,NYG,76.4,75.9,952,50.0,2012,2168,Chris Snee,2012,29,6,"$42,500,000",7083333
Stephen Peterman,1804,G,DET,76.4,81.2,1199,50.0,2012,2237,Stephen Peterman,2012,30,5,"$15,000,000",3000000
Sebastian Vollmer,4981,T,NE,76.3,74.3,1248,52.0,2012,2234,Sebastian Vollmer,2012,28,4,"$3,105,000",776250
Fernando Velasco,4641,C,TEN,75.8,73.7,995,54.0,2012,1804,Fernando Velasco,2012,27,1,"$615,000",615000
Andrew Whitworth,3000,T,CIN,75.7,59.4,1042,55.0,2012,1938,Andrew Whitworth,2012,30,2,"$19,525,000",9762500
Wade Smith,1393,G,HST,74.9,72.9,1270,59.0,2012,2153,Wade Smith,2012,30,4,"$12,000,000",3000000
Gosder Cherilus,4331,T,DET,74.7,72.4,1198,61.0,2012,2280,Gosder Cherilus,2012,28,5,"$15,000,000",3000000
Richie Incognito,2298,G,MIA,73.8,71.8,1027,64.0,2012,2024,Richie Incognito,2012,28,3,"$12,900,000",4300000
Nate Livings,3400,G,DAL,73.7,78.2,1094,65.0,2012,1869,Nate Livings,2012,29,5,"$18,750,000",3750000
Todd McClure,536,C,ATL,73.6,72.5,1175,66.0,2012,1917,Todd McClure,2012,35,1,"$990,000",990000
David Baas,2250,C,NYG,73.4,76.3,1003,67.0,2012,1959,David Baas,2012,30,5,"$27,500,000",5500000
Dominic Raiola,820,C,DET,73.1,67.7,1199,68.0,2012,2085,Dominic Raiola,2012,32,4,"$20,000,000",5000000
Eric Winston,3011,T,KC,73.0,75.8,1051,69.0,2012,1801,Eric Winston,2012,28,4,"$22,000,000",5500000
Jeromey Clary,3132,T,LAC,72.8,71.9,833,73.0,2012,1980,Jeromey Clary,2012,28,4,"$20,000,000",5000000
Kraig Urbik,5002,G,BUF,72.7,67.7,783,74.0,2012,1842,Kraig Urbik,2012,26,1,"$1,260,000",1260000
Harvey Dahl,2553,G,LA,72.6,69.8,915,75.0,2012,1970,Harvey Dahl,2012,31,4,"$16,000,000",4000000
King Dunlap,4544,T,PHI,72.2,63.9,818,77.0,2012,1840,King Dunlap,2012,26,1,"$1,200,000",1200000
Jermon Bushrod,3741,T,NO,71.8,71.1,1103,78.0,2012,1979,Jermon Bushrod,2012,27,2,"$9,800,000",4900000
David Stewart,2330,T,TEN,71.6,69.1,675,80.0,2012,2269,David Stewart,2012,29,7,"$36,883,000",5269000
Dan Connolly,2540,G,NE,71.1,68.7,1039,82.0,2012,1781,Dan Connolly,2012,29,3,"$9,750,000",3250000
Cooper Carlisle,658,G,LV,71.1,65.8,1076,82.0,2012,1775,Cooper Carlisle,2012,34,1,"$925,000",925000
Barry Richardson,4484,T,LA,70.7,73.3,1023,85.0,2012,1751,Barry Richardson,2012,26,1,"$1,020,000",1020000
Ramon Foster,5229,G,PIT,70.1,62.4,1010,86.0,2012,1881,Ramon Foster,2012,26,1,"$1,260,000",1260000
Robert Turner,4085,C,LA,70.0,64.7,1044,87.0,2012,1892,Robert Turner,2012,27,1,"$700,000",700000
Manuel Ramirez,3733,G,DEN,69.4,65.2,829,89.0,2012,1850,Manuel Ramirez,2012,29,2,"$1,415,000",707500
Jeremy Zuttah,4397,G,TB,69.3,65.7,1018,92.0,2012,1826,Jeremy Zuttah,2012,25,4,"$16,500,000",4125000
Ryan Cook,2996,C,DAL,68.8,69.2,813,94.0,2012,1896,Ryan Cook,2012,28,2,"$2,100,000",1050000
Samson Satele,3676,C,IND,68.6,74.6,720,95.0,2012,1901,Samson Satele,2012,27,3,"$10,800,000",3600000
Willie Colon,3076,G,PIT,68.5,70.7,711,96.0,2012,2054,Willie Colon,2012,29,5,"$29,000,000",5800000
Uche Nwaneri,3765,G,JAX,68.5,69.4,926,96.0,2012,2152,Uche Nwaneri,2012,27,6,"$25,101,000",4183500
Justin Blalock,3655,G,ATL,68.3,62.8,1189,99.0,2012,1988,Justin Blalock,2012,28,6,"$38,400,000",6400000
Jeff Backus,788,T,DET,68.3,51.5,1064,99.0,2012,1822,Jeff Backus,2012,34,2,"$5,850,000",2925000
John Moffitt,6227,G,SEA,68.2,66.2,461,101.0,2012,1984,John Moffitt,2012,25,4,"$2,895,000",723750
Dallas Reynolds,5241,C,PHI,68.2,68.0,991,101.0,2012,1780,Dallas Reynolds,2012,27,3,"$1,440,000",480000
Demar Dotson,5410,T,TB,67.7,65.4,986,104.0,2012,1788,Demar Dotson,2012,26,2,"$2,500,000",1250000
T.J. Lang,5032,G,GB,67.7,65.7,1124,104.0,2012,1911,T.J. Lang,2012,24,4,"$20,800,000",5200000
Paul McQuistan,3014,G,SEA,66.6,64.5,1130,110.0,2012,1877,Paul McQuistan,2012,28,2,"$5,000,000",2500000
Dan Koppen,1471,C,DEN,66.6,57.4,981,110.0,2012,1784,Dan Koppen,2012,32,2,"$3,050,000",1525000
Daryn Colledge,2992,G,ARZ,66.5,61.6,1052,112.0,2012,1958,Daryn Colledge,2012,30,5,"$27,500,000",5500000
Garry Williams,5341,G,CAR,66.4,67.0,606,114.0,2012,1969,Garry Williams,2012,26,3,"$2,041,667",680556
Steve Hutchinson,787,G,TEN,66.1,64.2,686,116.0,2012,1909,Steve Hutchinson,2012,34,3,"$16,750,000",5583333
Lyle Sendlein,4062,C,ARZ,65.7,57.9,756,117.0,2012,2000,Lyle Sendlein,2012,28,5,"$16,250,000",3250000
Kory Lichtensteiger,4422,G,WAS,65.7,64.9,1019,117.0,2012,1841,Kory Lichtensteiger,2012,26,1,"$1,260,000",1260000
Nick Hardwick,1787,C,LAC,65.4,64.3,1019,119.0,2012,1871,Nick Hardwick,2012,30,3,"$13,250,000",4416667
Mackenzy Bernadeau,4564,G,DAL,65.0,66.3,1101,121.0,2012,1848,Mackenzy Bernadeau,2012,26,4,"$11,500,000",2875000
Roberto Garza,856,C,CHI,64.8,60.6,1046,122.0,2012,1893,Roberto Garza,2012,32,2,"$6,550,000",3275000
John Jerry,5598,G,MIA,64.5,59.2,1034,123.0,2012,2104,John Jerry,2012,26,4,"$2,648,500",662125
Winston Justice,2984,T,IND,64.1,63.8,798,125.0,2012,1932,Winston Justice,2012,27,1,"$1,500,000",1500000
Charlie Johnson,3144,G,MIN,63.8,61.7,1093,126.0,2012,1948,Charlie Johnson,2012,28,3,"$10,500,000",3500000
Scott Wells,1965,C,LA,63.8,59.8,421,126.0,2012,1903,Scott Wells,2012,31,4,"$24,000,000",6000000
Lance Louis,5170,G,CHI,63.7,57.1,692,128.0,2012,2206,Lance Louis,2012,27,4,"$1,792,000",448000
Breno Giacomini,4464,T,SEA,63.3,67.5,1144,131.0,2012,1755,Breno Giacomini,2012,26,2,"$6,500,000",3250000
Jamon Meredith,5086,G,TB,63.2,63.9,795,133.0,2012,1819,Jamon Meredith,2012,25,2,"$1,600,000",800000
Brad Meester,627,C,JAX,63.2,56.8,1062,133.0,2012,2162,Brad Meester,2012,34,4,"$10,000,000",2500000
Sean Locklear,1805,T,NYG,62.8,60.5,647,137.0,2012,1904,Sean Locklear,2012,30,1,"$890,000",890000
Doug Free,3738,T,DAL,62.8,68.5,1022,137.0,2012,1962,Doug Free,2012,28,4,"$32,000,000",8000000
Zach Strief,3155,T,NO,62.5,61.7,786,140.0,2012,2056,Zach Strief,2012,28,3,"$5,750,000",1916667
Jeff Saturday,431,C,GB,62.5,50.5,962,140.0,2012,1824,Jeff Saturday,2012,36,2,"$7,750,000",3875000
Max Starks,1796,T,PIT,62.5,54.6,1065,140.0,2012,1858,Max Starks,2012,29,1,"$890,000",890000
Tyler Polumbus,4581,T,WAS,61.6,66.7,992,144.0,2012,1928,Tyler Polumbus,2012,26,1,"$700,000",700000
Khalif Barnes,2269,T,LV,60.7,60.3,558,146.0,2012,1839,Khalif Barnes,2012,29,1,"$2,000,000",2000000
Mike Brisiel,3250,G,LV,60.3,61.1,961,147.0,2012,1862,Mike Brisiel,2012,29,5,"$20,000,000",4000000
Mike McGlynn,4423,G,IND,59.4,58.3,1258,149.0,2012,1864,Mike McGlynn,2012,27,2,"$2,650,000",1325000
Chilo Rachal,4353,G,CHI,55.6,58.3,512,154.0,2012,1764,Chilo Rachal,2012,26,1,"$700,000",700000
Adam Snyder,2311,G,ARZ,55.2,51.5,866,155.0,2012,1742,Adam Snyder,2012,30,5,"$17,500,000",3500000
Geoff Hangartner,2386,C,CAR,54.8,51.5,756,156.0,2012,1806,Geoff Hangartner,2012,29,3,"$4,850,000",1616667
Jeff Faine,1337,C,CIN,53.3,45.4,456,158.0,2012,1823,Jeff Faine,2012,30,1,"$2,000,000",2000000
D'Anthony Batiste,3223,T,ARZ,45.6,57.8,626,159.0,2012,1779,D'Anthony Batiste,2012,29,1,"$700,000",700000
